"school","capacity"
"Reservoir HS",1551
"Hammond HS",1220
"Atholton HS",1460
"Centennial HS",1360
"River Hill HS",1488
"Marriotts Ridge HS",1615
"Long Reach HS",1488
"Mt Hebron HS",1400
"Howard HS",1420
"Oakland Mills HS",1400
"Wilde Lake HS",1424
"Glenelg HS",1420
