OBJECTID,PLAN_ID,ES_HOME,MS_HOME,HS_HOME,PHASEOUT,STUDNT_POP,GR0_POP,GR1_POP,GR2_POP,GR3_POP,GR4_POP,GR5_POP,GR6_POP,GR7_POP,GR8_POP,GR9_POP,GR10_POP,GR11_POP,GR12_POP,ESPROJ0,MSPROJ0,HSPROJ0,ESPROJ1,MSPROJ1,HSPROJ1,ESPROJ2,MSPROJ2,HSPROJ2,ESPROJ3,MSPROJ3,HSPROJ3,ESPROJ4,MSPROJ4,HSPROJ4,ESPROJ5,MSPROJ5,HSPROJ5,ESPROJ6,MSPROJ6,HSPROJ6,ESPROJ7,MSPROJ7,HSPROJ7,ESPROJ8,MSPROJ8,HSPROJ8,SFD1,SFD2,SFD3,SFD4,SFD5,SFD6,SFD7,SFD8,SFA1,SFA2,SFA3,SFA4,SFA5,SFA6,SFA7,SFA8,APT1,APT2,APT3,APT4,APT5,APT6,APT7,APT8,KSPROJ0,KSPROJ1,KSPROJ2,KSPROJ3,KSPROJ4,KSPROJ5,KSPROJ6,KSPROJ7,KSPROJ8,SFD9,SFD10,SFD11,SFD12,SFD13,SFD14,SFD15,SFA9,SFA10,SFA11,SFA12,SFA13,SFA14,SFA15,APT9,APT10,APT11,APT12,APT13,APT14,APT15,KSPROJ9,ESPROJ9,MSPROJ9,HSPROJ9,KSPROJ10,ESPROJ10,MSPROJ10,HSPROJ10,KSPROJ11,ESPROJ11,MSPROJ11,HSPROJ11,KSPROJ12,ESPROJ12,MSPROJ12,HSPROJ12,KSPROJ13,ESPROJ13,MSPROJ13,HSPROJ13,KSPROJ14,ESPROJ14,MSPROJ14,HSPROJ14,DONE
,234,Bushy Park ES,Glenwood MS,Glenelg HS,,105,1,9,2,11,10,6,15,7,7,7,9,12,9,38,28,37,36,29,36,35,27,38,33,28,37,32,28,35,30,27,37,30,25,37,28,24,37,27,23,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,23,35,1,30,24,35,1,30,24,35,1,30,25,34,1,30,24,35,1,30,24,35,
,235,Dayton Oaks ES,Lime Kiln MS,River Hill HS,,37,1,2,2,4,3,3,3,4,4,3,3,2,3,14,11,11,15,10,14,14,10,14,13,10,14,13,9,14,13,9,14,12,9,14,13,9,14,12,9,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,9,13,1,12,9,13,1,12,10,13,1,12,9,13,1,12,9,14,1,12,9,14,
,236,Lisbon ES,Glenwood MS,Glenelg HS,,14,0,0,0,0,0,2,1,1,2,1,3,3,1,2,4,8,2,3,7,3,2,6,3,2,5,3,2,5,3,2,4,3,2,4,3,2,4,3,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,3,2,4,0,3,2,4,0,3,2,3,0,3,2,3,0,3,2,3,
,238,Bushy Park ES,Glenwood MS,Glenelg HS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,4,0,0,1,4,1,0,1,4,1,0,
,239,Bushy Park ES,Glenwood MS,Glenelg HS,,20,0,1,0,2,2,2,0,4,2,1,2,3,1,7,6,7,7,5,7,7,5,7,7,6,7,6,5,7,6,5,7,6,5,7,6,5,7,5,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,0,6,5,7,0,6,5,7,2,22,6,7,3,22,6,7,3,22,7,7,
,240,Lisbon ES,Glenwood MS,Glenelg HS,,38,2,1,0,3,3,5,4,2,3,3,3,5,4,12,9,15,12,9,13,13,9,13,12,10,13,12,9,13,12,9,13,12,9,13,12,9,13,12,9,13,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,9,13,3,14,9,12,3,14,10,12,3,14,10,12,3,14,10,13,3,14,10,13,
,241,Lisbon ES,Glenwood MS,Glenelg HS,,93,5,5,7,6,7,3,5,15,7,6,4,8,15,27,26,33,27,23,32,27,21,33,25,22,32,24,21,31,24,21,31,24,19,30,24,19,30,23,18,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,5,4,4,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,18,29,5,26,19,28,5,26,20,28,5,26,20,27,5,26,20,28,5,25,20,28,
,243,Lisbon ES,Glenwood MS,Glenelg HS,,32,6,3,0,1,5,2,2,2,0,4,3,2,2,11,4,11,11,6,8,11,7,9,10,8,9,10,8,9,10,8,9,10,7,9,10,7,10,10,7,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,5,6,5,5,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,9,5,10,7,9,5,11,8,9,5,11,8,9,5,11,8,10,5,11,8,10,
,244,Lisbon ES,Glenwood MS,Glenelg HS,,33,0,0,2,0,1,3,5,2,4,4,6,2,4,6,11,16,6,7,15,6,6,14,5,6,12,5,5,11,5,5,11,5,5,10,5,4,10,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0,5,4,8,0,7,5,8,0,7,5,8,0,7,5,8,0,7,5,8,
,245,Lisbon ES,Glenwood MS,Glenelg HS,,27,2,2,5,1,1,1,3,1,3,3,1,2,2,10,7,8,10,7,8,9,7,9,9,7,9,8,7,9,8,7,9,8,6,9,8,6,9,8,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,9,2,8,6,9,2,8,6,9,2,8,7,8,2,8,6,9,2,8,6,9,
